Service Name,Display Name,Default Setting (2025),Recommendation,Justification,Registry Setting (Sysprep-safe),References
BTAGService,Bluetooth Audio Gateway Service,Manual,Disable (unless Bluetooth required),Bluetooth stack is unnecessary on servers and enlarges attack surface,"HKLM\SYSTEM\CurrentControlSet\Services\BTAGService\Start=4 (REG_DWORD)","Microsoft: Services registry tree; Start=Disabled mapping"
BthAvctpSvc,AVCTP service,Manual,Disable (unless Bluetooth required),Bluetooth AV control protocol not needed on servers,"HKLM\SYSTEM\CurrentControlSet\Services\BthAvctpSvc\Start=4 (REG_DWORD)","Microsoft: Services registry tree; Start=Disabled mapping"
DisplayEnhancementService,Display Enhancement Service,Manual,Disable (unless feature required),Client/UX tuning only; no server role value,"HKLM\SYSTEM\CurrentControlSet\Services\DisplayEnhancementService\Start=4 (REG_DWORD)","Microsoft: Services registry tree; Start=Disabled mapping"
GameInputSvc,GameInput Service,Manual,Disable,Game/Xbox input stack; no server role dependency,"HKLM\SYSTEM\CurrentControlSet\Services\GameInputSvc\Start=4 (REG_DWORD)","Microsoft: Services registry tree; Start=Disabled mapping"
LxpSvc,Language Experience Service,Manual,Disable (unless feature required),Language packs/UX provisioning only; not needed on servers,"HKLM\SYSTEM\CurrentControlSet\Services\LxpSvc\Start=4 (REG_DWORD)","Microsoft: Services registry tree; Start=Disabled mapping"
NaturalAuthentication,Natural Authentication,Manual,Disable (unless feature required),Dynamic/touch/biometric UX; not used on servers,"HKLM\SYSTEM\CurrentControlSet\Services\NaturalAuthentication\Start=4 (REG_DWORD)","Microsoft: Services registry tree; Start=Disabled mapping"
PrintDeviceConfigurationService,Print Device Configuration Service,Manual,Disable (unless Print/Scan role),Modern print platform component; disable unless print/scanning role,"HKLM\SYSTEM\CurrentControlSet\Services\PrintDeviceConfigurationService\Start=4 (REG_DWORD)","Microsoft: Services registry tree; Start=Disabled mapping"
PrintScanBrokerService,Print Scan Broker Service,Manual,Disable (unless Print/Scan role),Modern print/scan privileged ops; disable unless role required,"HKLM\SYSTEM\CurrentControlSet\Services\PrintScanBrokerService\Start=4 (REG_DWORD)","Microsoft: Services registry tree; Start=Disabled mapping"
SNMPTrap,SNMP Trap,Manual,Disable (unless SNMP used),Only required when SNMP feature is installed and used,"HKLM\SYSTEM\CurrentControlSet\Services\SNMPTrap\Start=4 (REG_DWORD)","Microsoft: Services registry tree; Start=Disabled mapping"
TextInputManagementService,Text Input Management Service,Auto,Disable (unless feature required),IME/handwriting/expressive input; not used on servers,"HKLM\SYSTEM\CurrentControlSet\Services\TextInputManagementService\Start=4 (REG_DWORD)","Microsoft: Services registry tree; Start=Disabled mapping"
WFDSConMgrSvc,Wi-Fi Direct Services Connection Manager Service,Manual,Disable (unless feature required),Wi-Fi Direct client feature; not used on servers,"HKLM\SYSTEM\CurrentControlSet\Services\WFDSConMgrSvc\Start=4 (REG_DWORD)","Microsoft: Services registry tree; Start=Disabled mapping"
WManSvc,Windows Mobile Hotspot Service,Manual,Disable (unless feature required),Consumer/mobile hotspot feature; not applicable to servers,"HKLM\SYSTEM\CurrentControlSet\Services\WManSvc\Start=4 (REG_DWORD)","Microsoft: Services registry tree; Start=Disabled mapping"
WlanSvc,WLAN AutoConfig,Manual,Disable (unless feature required),Wireless client stack; disable on servers unless WLAN is explicitly needed,"HKLM\SYSTEM\CurrentControlSet\Services\WlanSvc\Start=4 (REG_DWORD)","Microsoft: Services registry tree; Start=Disabled mapping"
XblAuthManager,Xbox Live Auth Manager,Manual,Disable,Consumer/Xbox stack; not needed on servers,"HKLM\SYSTEM\CurrentControlSet\Services\XblAuthManager\Start=4 (REG_DWORD)","Microsoft: Services registry tree; Start=Disabled mapping; Microsoft CSP shows 2/3/4 mapping incl. Xbox Live Auth Manager"
wcncsvc,Windows Connect Now – Config Registrar,Manual,Disable (unless feature required),WCN/WPS onboarding; not an enterprise server need,"HKLM\SYSTEM\CurrentControlSet\Services\wcncsvc\Start=4 (REG_DWORD)","Microsoft: Services registry tree; Start=Disabled mapping"
workfolderssvc,Work Folders,Manual,Disable (unless using Work Folders),Only needed if the server is deployed for Work Folders client/server scenarios,"HKLM\SYSTEM\CurrentControlSet\Services\workfolderssvc\Start=4 (REG_DWORD)","Microsoft: Services registry tree; Start=Disabled mapping"
vmicrdv,Hyper-V Remote Desktop Virtualization Service,Manual,Disable (unless Hyper-V guest integration required),Guest convenience integration; disable unless actively used,"HKLM\SYSTEM\CurrentControlSet\Services\vmicrdv\Start=4 (REG_DWORD)","Microsoft: Services registry tree; Start=Disabled mapping"
WSAIFabricSvc,WSAIFabricSvc,Manual,Disable,No server role relevance; disable until official server guidance indicates otherwise,"HKLM\SYSTEM\CurrentControlSet\Services\WSAIFabricSvc\Start=4 (REG_DWORD)","Microsoft: Services registry tree; Start=Disabled mapping"
